genus_species,genus,species,latitude,longitude,location_description,acclim_temp,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,life_stage,phylum,class,order,family,realm_general,realm_specific,source,original_compilation,notes,extractor,ref
Pomatoschistus microps,Pomatoschistus,microps,38.48455556,-8.888166667,"Sado estuary, Portugal",22,8,34.13,tmax,1.79,Pearson coefficient of variation,21,critical,loss of equilibrium,1,NA,NA,held,NA,NA,adult,,,,,Freshwater,estuarine,wild,new_papers_2019,developmental acclimation,Nikki,Cereja_2017
Pomatoschistus microps,Pomatoschistus,microps,38.48455556,-8.888166667,"Sado estuary, Portugal",26,10,34.27,tmax,1.31,Pearson coefficient of variation,19,critical,loss of equilibrium,1,NA,NA,held,NA,NA,adult,,,,,Freshwater,estuarine,wild,new_papers_2019,developmental acclimation,Nikki,Cereja_2017
Pterois volitans,Pterois,volitans,-5.464722222,123.7758333,"Hoga Island in the Banda Sea, southeast Sulawesi, Indonesia",17.8,14,33.7,tmax,0.86,SD,4,critical,loss of equilibrium,0.2,NA,NA,held,NA,NA,adult,,,,,Marine,shallow reef,wild,new_papers_2019,,Nikki,Dabruzzi_et_al_2017
Pterois volitans,Pterois,volitans,-5.464722222,123.7758333,"Hoga Island in the Banda Sea, southeast Sulawesi, Indonesia",23,14,36,tmax,0.25,SD,4,critical,loss of equilibrium,0.2,NA,NA,held,NA,NA,adult,,,,,Marine,shallow reef,wild,new_papers_2019,,Nikki,Dabruzzi_et_al_2017
Pterois volitans,Pterois,volitans,-5.464722222,123.7758333,"Hoga Island in the Banda Sea, southeast Sulawesi, Indonesia",29,14,37.6,tmax,0.42,SD,4,critical,loss of equilibrium,0.2,NA,NA,held,NA,NA,adult,,,,,Marine,shallow reef,wild,new_papers_2019,,Nikki,Dabruzzi_et_al_2017
Pterois volitans,Pterois,volitans,-5.464722222,123.7758333,"Hoga Island in the Banda Sea, southeast Sulawesi, Indonesia",31.1,14,38.5,tmax,0.27,SD,4,critical,loss of equilibrium,0.2,NA,NA,held,NA,NA,adult,,,,,Marine,shallow reef,wild,new_papers_2019,,Nikki,Dabruzzi_et_al_2017
Pterois volitans,Pterois,volitans,-5.464722222,123.7758333,"Hoga Island in the Banda Sea, southeast Sulawesi, Indonesia",17.8,14,9.9,tmin,0.56,SD,4,critical,loss of equilibrium,0.2,NA,NA,held,NA,NA,adult,,,,,Marine,shallow reef,wild,new_papers_2019,,Nikki,Dabruzzi_et_al_2017
Pterois volitans,Pterois,volitans,-5.464722222,123.7758333,"Hoga Island in the Banda Sea, southeast Sulawesi, Indonesia",23,14,11.4,tmin,0.37,SD,4,critical,loss of equilibrium,0.2,NA,NA,held,NA,NA,adult,,,,,Marine,shallow reef,wild,new_papers_2019,,Nikki,Dabruzzi_et_al_2017
Pterois volitans,Pterois,volitans,-5.464722222,123.7758333,"Hoga Island in the Banda Sea, southeast Sulawesi, Indonesia",29,14,13.2,tmin,0.56,SD,4,critical,loss of equilibrium,0.2,NA,NA,held,NA,NA,adult,,,,,Marine,shallow reef,wild,new_papers_2019,,Nikki,Dabruzzi_et_al_2017
Pterois volitans,Pterois,volitans,-5.464722222,123.7758333,"Hoga Island in the Banda Sea, southeast Sulawesi, Indonesia",31.1,14,13.8,tmin,0.1,SD,4,critical,loss of equilibrium,0.2,NA,NA,held,NA,NA,adult,,,,,Marine,shallow reef,wild,new_papers_2019,,Nikki,Dabruzzi_et_al_2017
Amphibalanus amphitrite,Amphibalanus,amphitrite,1.4387,103.7546,"Kranji, Singapore",25.4,90,45.1,tmax,0.72,SD,20,critical,inability to close operculum plates,1,NA,NA,held,NA,NA,adult,,,,,Marine,intertidal,wild,new_papers_2019,,Nikki,Morley_et_al_2017
Amphibalanus amphitrite,Amphibalanus,amphitrite,1.4387,103.7546,"Kranji, Singapore",27.4,90,45.3,tmax,0.76,SD,20,critical,inability to close operculum plates,1,NA,NA,held,NA,NA,adult,,,,,Marine,intertidal,wild,new_papers_2019,,Nikki,Morley_et_al_2017
Amphibalanus amphitrite,Amphibalanus,amphitrite,1.4387,103.7546,"Kranji, Singapore",29.4,90,45.55,tmax,0.74,SD,20,critical,inability to close operculum plates,1,NA,NA,held,NA,NA,adult,,,,,Marine,intertidal,wild,new_papers_2019,,Nikki,Morley_et_al_2017
Amphibalanus amphitrite,Amphibalanus,amphitrite,1.4387,103.7546,"Kranji, Singapore",31.4,90,45.6,tmax,0.82,SD,20,critical,inability to close operculum plates,1,NA,NA,held,NA,NA,adult,,,,,Marine,intertidal,wild,new_papers_2019,,Nikki,Morley_et_al_2017
Amphibalanus amphitrite,Amphibalanus,amphitrite,1.4387,103.7546,"Kranji, Singapore",33.4,90,45.67,tmax,0.8,SD,20,critical,inability to close operculum plates,1,NA,NA,held,NA,NA,adult,,,,,Marine,intertidal,wild,new_papers_2019,,Nikki,Morley_et_al_2017
