genus_species,reference,paper_source,doi,extracted,discarded,notes,found
Myzus persicae,Alford et al 2011,Morley,doi: 10.1111/j.1461-9563.2011.00553.x,Y,Y,nymphs,Y
Tenebrio molitor,Allen et al 2012,Morley,doi:10.1016/j.jinsphys.2012.01.016,Y,Y,lab maintained colony refreshed with individuals from supplier,Y
Notothenia coriiceps,Bilyk and DeVries 2011,Morley,doi:10.1016/j.cbpa.2010.12.010,Y,N,NA,Y
Pagothenia borchgrevinki,Bilyk and DeVries 2011,Morley,doi:10.1016/j.cbpa.2010.12.010,Y,N,NA,Y
Rana catesbeiana,Brattstrom 1968,Morley,doi: 10.1016/0010-406X(68)90961-4,Y,Y,already have in intratherm,
Rana clamitans,Brattstrom 1968,Morley,doi: 10.1016/0010-406X(68)90961-4,Y,Y,already have in intratherm,
Limnodynastes dorsalis,Brattstrom 1970,Morley,doi: 10.1016/0010-406x(70) 90915-1,Y,Y,already have in intratherm,
Sitobion avenae,Cao_et_al_2018,new_papers_2019,NA,Y,Y,developmental acclimation study,Y
Cyprinella lutrensis,Carveth et al 2006,Morley,doi: 10.1577/T05-025.1,Y,Y,already have in intratherm,
Gambusia affinis,Carveth et al 2006,Morley,doi: 10.1577/T05-025.1,Y,Y,already have in intratherm,
Lepomis cyanellus,Carveth et al 2006,Morley,doi: 10.1577/T05-025.1,Y,Y,already have in intratherm,
Lepomis macrochirus,Carveth et al 2006,Morley,doi: 10.1577/T05-025.1,Y,Y,already have in intratherm,
Pomatoschistus microps,cereja_2017,new_papers_2019,NA,Y,N,NA,Y
Campostoma anomalum,Chagnon and Hlohowskyj 1989,Morley,doi: 10.1007/BF01700246,Y,N,NA,Y
Eleutherodactylus coqui,Christian et al 1998,Morley,NA,Y,Y,already have in intratherm,
Poecilia reticulata,Chung 2001,Morley,doi: 10.1023/A:1013158904036,Y,Y,already have in intratherm,
Orconectes rusticus,Claussen 1980,Morley,doi: 10.1016/0300-9629(80)90183-8,Y,N,NA,Y
Cancer pagurus,Cuculescu et al 1998,Morley,doi: 10.1016/S0306-4565(98)00008-4,Y,N,NA,Y
Pterois volitans,Dabruzzi_et_al_2017,new_papers_2019,NA,Y,N,NA,Y
Gibbonsia montereyensis,Davis 1977,Morley,doi: 10.1007/BF00402193,Y,N,NA,Y
Elacatinus oceanops,Di_Santo_and_Lobe_2017,new_papers_2019,NA,Y,Y,juveniles,Y
