genus,species,latitude,longitude,population_id,location_description,acclim_temp,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,life_stage,phylum,class,order,family,realm_general,realm_specific,source,original_compilation,notes,extractor,ref,citation_Rohr,reference_Comte,genus_species
Ambystoma,macrodactylum,46.23,-116.23,Ambystoma macrodactylum_46.23_-116.23,"NezPerce, Idaho, USA",8,14,33.4,tmax,0.59,CI,NA,critical,onset_of_rigor,0.5,NA,NA,NA,NA,420,adult,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,pond,NA,intratherm_team,NA,FL,Howard_et_al_1983,NA,NA,Ambystoma macrodactylum
Ambystoma,macrodactylum,46.23,-116.23,Ambystoma macrodactylum_46.23_-116.23,"NezPerce, Idaho, USA",20,14,34.9,tmax,0.63,CI,NA,critical,onset_of_rigor,0.5,NA,NA,NA,NA,420,adult,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,pond,NA,intratherm_team,NA,FL,Howard_et_al_1983,NA,NA,Ambystoma macrodactylum
Ambystoma,macrodactylum,44.77,-117.83,Ambystoma macrodactylum_44.77_-117.83,"Baker County, Oregon, USA",8,14,34.3,tmax,0.63,CI,NA,critical,onset_of_rigor,0.5,NA,NA,NA,NA,1140,adult,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,pond,NA,intratherm_team,NA,FL,Howard_et_al_1983,NA,NA,Ambystoma macrodactylum
Ambystoma,macrodactylum,44.77,-117.83,Ambystoma macrodactylum_44.77_-117.83,"Baker County, Oregon, USA",20,14,35,tmax,0.8,CI,NA,critical,onset_of_rigor,0.5,NA,NA,NA,NA,1140,adult,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,pond,NA,intratherm_team,NA,FL,Howard_et_al_1983,NA,NA,Ambystoma macrodactylum
Ambystoma,macrodactylum,45.58,-117.17,Ambystoma macrodactylum_45.58_-117.17,"Wallowa County, Oregon, USA",8,14,33.2,tmax,1.2,CI,NA,critical,onset_of_rigor,0.5,NA,NA,NA,NA,2470,adult,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,pond,NA,intratherm_team,NA,FL,Howard_et_al_1983,NA,NA,Ambystoma macrodactylum
Ambystoma,macrodactylum,45.58,-117.17,Ambystoma macrodactylum_45.58_-117.17,"Wallowa County, Oregon, USA",20,14,34.4,tmax,0.71,CI,NA,critical,onset_of_rigor,0.5,NA,NA,NA,NA,2470,adult,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,pond,NA,intratherm_team,NA,FL,Howard_et_al_1983,NA,NA,Ambystoma macrodactylum
Dendropsophus,molitor,4.39,-74.14,Dendropsophus molitor_4.39_-74.14,"Embalse La Regadera, Usme, Colombia",15,7,37.47,tmax,0.64,SD,NA,critical,onset_of_spasm,1,NA,NA,NA,NA,2620-3050,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,aquatic,NA,intratherm_team,Thermal limits extracted from LD 12:12 photoperiod and using OOo Digitizer,FL,Mahoney_&_Hutchison_1969,NA,NA,Dendropsophus molitor
Dendropsophus,molitor,4.39,-74.14,Dendropsophus molitor_4.39_-74.14,"Embalse La Regadera, Usme, Colombia",25,7,38.57,tmax,0.76,SD,NA,critical,onset_of_spasm,1,NA,NA,NA,NA,2620-3050,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,aquatic,NA,intratherm_team,Thermal limits extracted from LD 12:12 photoperiod and using OOo Digitizer,FL,Mahoney_&_Hutchison_1969,NA,NA,Dendropsophus molitor
Ambystoma,maculatum,39.87,-89.92,Ambystoma maculatum_39.87_-89.92,"Pleasant Plains, USA",15,14,38.4,tmax,0.1,SE,9,critical,NA,NA,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,pond,NA,intratherm_team,NA,FL,Sealander_1969,NA,NA,Ambystoma maculatum
Ambystoma,maculatum,39.87,-89.92,Ambystoma maculatum_39.87_-89.92,"Pleasant Plains, USA",5,14,37.6,tmax,0.04,SE,5,critical,NA,NA,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,pond,NA,intratherm_team,NA,FL,Sealander_1969,NA,NA,Ambystoma maculatum
Eurycea,multiplicata,34.93,-78.75,Eurycea multiplicata_34.93_-78.75,"Granny Dean Cave, Washington, USA",15,14,37.5,tmax,0.2,SE,11,critical,NA,NA,NA,NA,15,Summer,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,stream,NA,intratherm_team,NA,FL,Sealander_1969,NA,NA,Eurycea multiplicata
Eurycea,multiplicata,34.93,-78.75,Eurycea multiplicata_34.93_-78.75,"Granny Dean Cave, Washington, USA",5,14,36.2,tmax,0.2,SE,10,critical,NA,NA,NA,NA,5,Summer,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,stream,NA,intratherm_team,NA,FL,Sealander_1969,NA,NA,Eurycea multiplicata
Lithobates,clamitans,42,-73.135,Lithobates clamitans_42_-73.135,"Long Island, New York",23,0,29.9,tmax,NA,NA,3,NA,Loss of righting response,NA,NA,NA,NA,NA,422,Adult,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",Brattstrom and Lawrence 1962,NA,Lithobates clamitans
Lithobates,clamitans,42,-73.135,Lithobates clamitans_42_-73.135,"Long Island, New York",23,1,31.8,tmax,NA,NA,3,NA,Loss of righting response,NA,NA,NA,NA,NA,422,Adult,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",Brattstrom and Lawrence 1962,NA,Lithobates clamitans
Lithobates,clamitans,42,-73.135,Lithobates clamitans_42_-73.135,"Long Island, New York",23,2,34,tmax,NA,NA,3,NA,Loss of righting response,NA,NA,NA,NA,NA,422,Adult,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",Brattstrom and Lawrence 1962,NA,Lithobates clamitans
