genus_species,genus,species,phylum,order,family,class
Abramis brama,Abramis,brama,NA,NA,Cyprinidae,Actinopteri
Abudefduf saxatilis,Abudefduf,saxatilis,NA,NA,Pomacentridae,Actinopteri
Acanthoclinus littoreus,Acanthoclinus,littoreus,NA,NA,Plesiopidae,Teleostei
Acanthopagrus latus,Acanthopagrus,latus,NA,NA,Sparidae,Actinopteri
Achirus mazatlanus,Achirus,mazatlanus,NA,NA,Achiridae,Teleostei
Acipenser brevirostrum,Acipenser,brevirostrum,NA,NA,Acipenseridae,Actinopteri
Acris crepitans,Acris,crepitans,NA,Anura,Hylidae,Amphibia
Agosia chrysogaster,Agosia,chrysogaster,Chordata,Cypriniformes,Cyprinidae,Actinopteri
Albula vulpes,Albula,vulpes,NA,NA,Albulidae,Actinopteri
Alburnus chalcoides,Alburnus,chalcoides,NA,NA,Cyprinidae,Actinopteri
Alosa pseudoharengus,Alosa,pseudoharengus,Chordata,Clupeiformes,Clupeidae,Actinopteri
Ambassis ambassis,Ambassis,ambassis,NA,NA,Ambassidae,Actinopteri
Ambassis kopsii,Ambassis,kopsii,NA,NA,Ambassidae,Teleostei
Ambloplites rupestris,Ambloplites,rupestris,NA,NA,Centrarchidae,Actinopteri
Ambystoma macrodactylum,Ambystoma,macrodactylum,Chordata,Caudata,Ambystomatidae,Amphibia
Ambystoma maculatum,Ambystoma,maculatum,Chordata,Caudata,Ambystomatidae,Amphibia
Ambystoma tigrinum,Ambystoma,tigrinum,NA,Caudata,Ambystomatidae,Amphibia
Ameiurus catus,Ameiurus,catus,NA,NA,Ictaluridae,Actinopteri
Ameiurus natalis,Ameiurus,natalis,NA,NA,Ictaluridae,Actinopteri
Ameiurus nebulosus,Ameiurus,nebulosus,NA,NA,Ictaluridae,Actinopteri
Anabas testudineus,Anabas,testudineus,NA,NA,Anabantidae,Actinopteri
Anaxyrus americanus,Anaxyrus,americanus,NA,Anura,Bufonidae,Amphibia
Anaxyrus boreas,Anaxyrus,boreas,NA,Anura,Bufonidae,Amphibia
Anaxyrus boreas,Anaxyrus,boreas,Chordata,Anura,Bufonidae,Amphibia
Anaxyrus canorus,Anaxyrus,canorus,NA,Anura,Bufonidae,Amphibia
Anaxyrus cognatus,Anaxyrus,cognatus,NA,Anura,Bufonidae,Amphibia
Anaxyrus compactilis,Anaxyrus,compactilis,NA,Anura,Bufonidae,Amphibia
Anaxyrus debilis,Anaxyrus,debilis,NA,Anura,Bufonidae,Amphibia
Anaxyrus exsul,Anaxyrus,exsul,NA,Anura,Bufonidae,Amphibia
Anaxyrus fowleri,Anaxyrus,fowleri,NA,Anura,Bufonidae,Amphibia
Anaxyrus nelsoni,Anaxyrus,nelsoni,NA,Anura,Bufonidae,Amphibia
Anaxyrus terrestris,Anaxyrus,terrestris,NA,Anura,Bufonidae,Amphibia
Anaxyrus woodhousii,Anaxyrus,woodhousii,NA,Anura,Bufonidae,Amphibia
Anguilla australis,Anguilla,australis,Chordata,Anguilliforme,Anguillidae,Actinopteri
Anolis distichus,Anolis,distichus,Chordata,Squamata,Iguanidae,Lepidosauria
Anolis sagrei,Anolis,sagrei,Chordata,Squamata,Iguanidae,Lepidosauria
Archoplites interruptus,Archoplites,interruptus,NA,NA,Centrarchidae,Actinopteri
Ascaphus truei,Ascaphus,truei,NA,Anura,Ascaphidae,Amphibia
Astyanax bimaculatus,Astyanax,bimaculatus,NA,NA,Characidae,Actinopteri
Astyanax lineatus,Astyanax,lineatus,NA,NA,Characidae,Actinopteri
Atrichum undulatum,Atrichum,undulatum,Streptophyta,Polytrichales,Polytrichaceae,Polytrichopsida
Barbatula barbatula,Barbatula,barbatula,NA,NA,Nemacheilidae,Actinopteri
Barbus barbus,Barbus,barbus,NA,NA,Cyprinidae,Actinopteri
Barilius bendelisis,Barilius,bendelisis,NA,NA,Cyprinidae,Actinopteri
Bathygobius fuscus,Bathygobius,fuscus,NA,NA,Gobiidae,Actinopteri
Belonesox belizanus,Belonesox,belizanus,NA,NA,Poeciliidae,Actinopteri
Boana faber,Boana,faber,NA,Anura,Hylidae,Amphibia
Bovichtus variegatus,Bovichtus,variegatus,NA,NA,Bovichtidae,Actinopteri
Bryconamericus thomasi,Bryconamericus,thomasi,NA,NA,Characidae,Actinopteri
Buergeria japonica,Buergeria,japonica,NA,Anura,Rhacophoridae,Amphibia
Bujurquina vittata,Bujurquina,vittata,NA,NA,Cichlidae,Actinopteri
Calathus melanocephalus,Calathus,melanocephalus,Arthropoda,Coleoptera,Carabidae,Insecta
Campostoma anomalum,Campostoma,anomalum,NA,NA,Cyprinidae,Actinopteri
Carassius auratus,Carassius,auratus,NA,NA,Cyprinidae,Actinopteri
Carassius carassius,Carassius,carassius,NA,NA,Cyprinidae,Actinopteri
Catostomus commersonii,Catostomus,commersonii,NA,NA,Catostomidae,Actinopteri
Catostomus latipinnis,Catostomus,latipinnis,NA,NA,Catostomidae,Actinopteri
Catostomus occidentalis,Catostomus,occidentalis,NA,NA,Catostomidae,Actinopteri
Chelmon rostratus,Chelmon,rostratus,NA,NA,Chaetodontidae,Actinopteri
Chelon subviridis,Chelon,subviridis,NA,NA,Mugilidae,Actinopteri
Chirodica chalcoptera,Chirodica,chalcoptera,Arthropoda,Coleoptera,Chrysomelidae,Insecta
Chrosomus eos,Chrosomus,eos,NA,NA,Cyprinidae,Actinopteri
Chrosomus erythrogaster,Chrosomus,erythrogaster,NA,NA,Cyprinidae,Actinopteri
Chrosomus neogaeus,Chrosomus,neogaeus,NA,NA,Cyprinidae,Actinopteri
Cirrhinus mrigala,Cirrhinus,mrigala,NA,NA,Cyprinidae,Actinopteri
Clarias gariepinus,Clarias,gariepinus,NA,NA,Clariidae,Actinopteri
Clinocottus analis,Clinocottus,analis,NA,NA,Cottidae,Actinopteri
