"binomial","sub_tsn","acc_tsn","syn_author","syn_name","syn_tsn","acc_name","acc_author","match","multiple_matches","pattern_match","uri","ids","class"
"Pacifastacus leniusculus","97326","97326","(Stimpson, 1857)","Pacifastacus trowbridgi","97327","Pacifastacus leniusculus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=97326",NA,NA
"Pacifastacus leniusculus","97326","97326","(Dana, 1852)","Pacifastacus leniusculus leniusculus","650412","Pacifastacus leniusculus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=97326",NA,NA
"Pacifastacus leniusculus","97326","97326","(Stimpson, 1857)","Pacifastacus leniusculus klamathensis","650413","Pacifastacus leniusculus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=97326",NA,NA
"Pacifastacus leniusculus","97326","97326","(Stimpson, 1857)","Pacifastacus leniusculus trowbridgii","650444","Pacifastacus leniusculus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=97326",NA,NA
"Pacifastacus leniusculus","97326","97326","Randall, 1840","Astacus oreganus","1133577","Pacifastacus leniusculus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=97326",NA,NA
"Pacifastacus leniusculus","97326","97326","Dana, 1852","Astacus leniusculus","1133578","Pacifastacus leniusculus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=97326",NA,NA
"Pacifastacus leniusculus","97326","97326","Stimpson, 1857","Astacus klamathensis","1133579","Pacifastacus leniusculus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=97326",NA,NA
"Pacifastacus leniusculus","97326","97326","Stimpson, 1857","Astacus trowbridgii","1133580","Pacifastacus leniusculus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=97326",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier in Cuvier and Valenciennes, 1829","Gasterosteus argyropomus","166366","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Mitchill, 1815","Gasterosteus biaculeatus","166367","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Walbaum, 1792","Gasterosteus bispinosus","166368","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier in Cuvier and Valenciennes, 1829","Gasterosteus brachycentrus","166369","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","(Pallas, 1814)","Gasterosteus cataphractus","166370","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Girard in Storer, 1850","Gasterosteus cuvieri","166371","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier, 1829","Gasterosteus gymnurus","166372","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier in Cuvier and Valenciennes, 1829","Gasterosteus leiurus","166373","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier, 1829","Gasterosteus niger","166374","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier in Cuvier and Valenciennes, 1829","Gasterosteus noveboracensis","166375","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier in Cuvier and Valenciennes, 1829","Gasterosteus obolarius","166376","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Nordmann, 1840","Gasterosteus ponticus","166377","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier in Cuvier and Valenciennes, 1829","Gasterosteus semiarmatus","166378","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier in Cuvier and Valenciennes, 1829","Gasterosteus semiloricatus","166379","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Yarrell, 1835","Gasterosteus spinulosus","166380","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Lacepède, 1801","Gasterosteus teraculeatus","166381","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
"Gasterosteus aculeatus","166365","166365","Cuvier in Cuvier and Valenciennes, 1829","Gasterosteus tetracanthus","166382","Gasterosteus aculeatus",NA,"found",TRUE,TRUE,"https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166365",NA,NA
