Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_ST,duration_of_chronic_exposure,pretreatment_temp,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection,location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general
Poeciliopsis,monacha,7,tmin,NA,NA,53,critical,initial_loss_equilibrium,0.2,NA,NA,25,1d,27,NA,26.29,-108.96,NEEDS_LOOKUP,"Rio Fuerte, Mexico",Bulger_&_Schultz_1982,adult,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,river,freshwater
Poeciliopsis,monacha_lucida,7,tmin,NA,NA,83,critical,initial_loss_equilibrium,0.2,NA,NA,25,1d,27,NA,26.29,-108.96,NEEDS_LOOKUP,"Rio Fuerte, Mexico",Bulger_&_Schultz_1982,adult,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,river,freshwater
Lacerta,agilis,5.9,tmin,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NA,51,-1,NEEDS_LOOKUP,Southern England,Spellerberg_1975,NA,Chordata,Lepidosauria,Squamata,Lacertidae,terrestrial,terrestrial
Lacerta,agilis,5.9,tmin,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NA,53.76,-2.7,NEEDS_LOOKUP,Lancashire,Spellerberg_1975,NA,Chordata,Lepidosauria,Squamata,Lacertidae,terrestrial,terrestrial
Poeciliopsis,monacha_occidentalis,5,tmin,NA,NA,39,critical,initial_loss_equilibrium,0.2,NA,NA,25,1d,27,NA,30,-112,NEEDS_LOOKUP,"Rios Concepcion, Sonora, Matape, Yaqui and Mayo, Mexico",Bulger_&_Schultz_1982,adult,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,river,freshwater
Lacerta,agilis,2.8,tmin,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NA,14,121,NEEDS_LOOKUP,Czechoslovakia,Spellerberg_1975,NA,Chordata,Lepidosauria,Squamata,Lacertidae,terrestrial,terrestrial
Lacerta,agilis,2.3,tmin,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NA,48,11,NEEDS_LOOKUP,Southern Germany,Spellerberg_1975,NA,Chordata,Lepidosauria,Squamata,Lacertidae,terrestrial,terrestrial
Dipsosaurus,dorsalis,47.5,tmax,NA,NA,6,critical,righting_ability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indian_Wells_Colorado_Desert,Cowles_&_Bogert_1944,adult,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,terrestrial
Dipsosaurus,dorsalis,47,tmax,NA,NA,6,critical,righting_ability,NA,NA,NA,NA,NA,NA,NA,35.01,-115.47,NA,Saltdale_Mojave_Desert,Cowles_&_Bogert_1944,adult,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,terrestrial
Zoarces,viviparus,29.1,tmax,0.6,SD,6,critical,onset_of_spasm,1,NA,NA,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,marine,aquatic
Zoarces,viviparus,29.1,tmax,0.2,SD,5,critical,onset_of_spasm,1,NA,NA,13,4w,NA,NA,54,7,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,marine,aquatic
Zoarces,viviparus,29.1,tmax,0.5,SD,4,critical,onset_of_spasm,1,NA,NA,17,4w,NA,NA,54,7,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,marine,aquatic
Zoarces,viviparus,28.8,tmax,0.9,SD,6,critical,onset_of_spasm,1,NA,NA,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,marine,aquatic
Zoarces,viviparus,28.8,tmax,0.8,SD,6,critical,onset_of_spasm,1,NA,NA,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,marine,aquatic
Zoarces,viviparus,28.8,tmax,1.1,SD,5,critical,onset_of_spasm,1,NA,NA,14,4w,NA,NA,54,7,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,marine,aquatic
