db,query,class
itis,Myro kerguelenensis,Euchelicerata
itis,Sphenomorphus taiwanensis,Reptilia
itis,Limnodynastes peroni,Amphibia
itis,Anaxyrus compactilis,Amphibia
itis,Achirus mazatlanus,Teleostei
itis,Ambassis kopsii,Teleostei
itis,Leuresthes sardina,Teleostei
itis,Quietula y,Teleostei
itis,Acanthoclinus littoreus,Teleostei
ncbi,Pacifastacus leniusculus,Malacostraca
ncbi,Fundulus parvipinnis,Actinopteri
ncbi,Salmo salar,Actinopteri
ncbi,Gasterosteus aculeatus,Actinopteri
ncbi,Oncorhynchus clarkii,Actinopteri
ncbi,Gila bicolor_mohavensis,Actinopteri
ncbi,Cottus cognatus,Actinopteri
ncbi,Alosa pseudoharengus,Actinopteri
ncbi,Myrmecocystus depilis,Insecta
ncbi,Gillichthys mirabilis,Actinopteri
ncbi,Glossina pallidipes,Insecta
ncbi,Podacarus auberti,Arachnida
ncbi,Halozetes belgicae,Arachnida
ncbi,Halozetes fulvus,Arachnida
ncbi,Halozetes marinus,Arachnida
ncbi,Halozetes marionensis,Arachnida
ncbi,Plethodon glutinosus,Amphibia
ncbi,Dasyatis sabina,Chondrichthyes
ncbi,Rana virgatipes,Amphibia
ncbi,Ambystoma macrodactylum,Amphibia
ncbi,Prinerigone vagans,Arachnida
ncbi,Linepithema humile,Insecta
ncbi,Mya arenaria,Bivalvia
ncbi,Gemma gemma,Bivalvia
ncbi,Mulinia lateralis,Bivalvia
ncbi,Desmognathus fuscus,Amphibia
ncbi,Eurycea bislineata,Amphibia
ncbi,Hyla labialis,Amphibia
ncbi,Lithobates sylvaticus,Amphibia
ncbi,Atrichum undulatum,Polytrichopsida
ncbi,Pseudacris triseriata,Amphibia
ncbi,Galaxias fasciatus,Actinopteri
ncbi,Galaxias maculatus,Actinopteri
ncbi,Retropinna retropinna,Actinopteri
ncbi,Eurycea longicauda,Amphibia
ncbi,Eurycea lucifuga,Amphibia
ncbi,Ambystoma maculatum,Amphibia
ncbi,Eurycea multiplicata,Amphibia
ncbi,Etheostoma cragini,Actinopteri
ncbi,Pogonichthys macrolepidotus,Actinopteri
ncbi,Anolis roquet,Lepidosauria
ncbi,Takydromus formosanus,Lepidosauria
ncbi,Takydromus stejnegeri,Lepidosauria
ncbi,Sphenomorphus incognitus,Lepidosauria
ncbi,Xantusia vigilis,Lepidosauria
ncbi,Eremias multiocellata,Lepidosauria
ncbi,Petrosaurus mearnsi,Lepidosauria
ncbi,Calathus melanocephalus,Insecta
ncbi,Trimeresurus gracilis,Lepidosauria
ncbi,Protobothrops mucrosquamatus,Lepidosauria
ncbi,Trimeresurus stejnegeri,Lepidosauria
ncbi,Anguilla australis,Actinopteri
ncbi,Thamnophis elegans,Lepidosauria
ncbi,Zoarces viviparus,Actinopteri
ncbi,Bufo boreas,Amphibia
ncbi,Rana pipiens,Amphibia
ncbi,Poeciliopsis occidentalis,Actinopteri
ncbi,Spea hammondii,Amphibia
ncbi,Eleutherodactylus coqui,Amphibia
ncbi,Hyla chloris,Amphibia
ncbi,Hyla gracilenta,Amphibia
ncbi,Hyla rubella,Amphibia
ncbi,Hyla caerulea,Amphibia
ncbi,Cyclorana brevipes,Amphibia
ncbi,Crinia signifera,Amphibia
ncbi,Limnodynastes dorsalis,Amphibia
ncbi,Pseudophryne bibroni,Amphibia
ncbi,Limnodynastes tasmaniensis,Amphibia
ncbi,Hyla phyllochroa,Amphibia
ncbi,Crinia victoriana,Amphibia
ncbi,Palirhoeus eatoni,Insecta
ncbi,Agosia chrysogaster,Actinopteri
ncbi,Catostomus clarkii,Actinopteri
ncbi,Cyprinodon macularius,Actinopteri
ncbi,Gila elegans,Actinopteri
ncbi,Gila intermedia,Actinopteri
ncbi,Gila robusta,Actinopteri
ncbi,Meda fulgida,Actinopteri
ncbi,Rhinichthys cobitis,Actinopteri
ncbi,Xyrauchen texanus,Actinopteri
ncbi,Anolis distichus,Lepidosauria
ncbi,Anolis sagrei,Lepidosauria
ncbi,Metacarcinus magister,Malacostraca
ncbi,Tullbergia bisetosa,Collembola
ncbi,Rana clamitans,Amphibia
ncbi,Ambystoma tigrinum,Amphibia
ncbi,Anaxyrus fowleri,Amphibia
ncbi,Lithobates palustris,Amphibia
ncbi,Lithobates pipiens,Amphibia
ncbi,Rhinella marina,Amphibia
ncbi,Scaphiopus holbrookii,Amphibia
ncbi,Anaxyrus americanus,Amphibia
ncbi,Anaxyrus woodhousii,Amphibia
ncbi,Eleutherodactylus cundalli,Amphibia
ncbi,Eleutherodactylus gossei,Amphibia
ncbi,Eleutherodactylus johnstonei,Amphibia
ncbi,Eleutherodactylus planirostris,Amphibia
ncbi,Gastrophryne carolinensis,Amphibia
ncbi,Hypsiboas faber,Amphibia
ncbi,Physalaemus cuvieri,Amphibia
ncbi,Pleurodema diplolister,Amphibia
ncbi,Pseudacris regilla,Amphibia
ncbi,Rhinella icterica,Amphibia
ncbi,Hyla versicolor,Amphibia
ncbi,Lithobates virgatipes,Amphibia
ncbi,Rhinella granulosa,Amphibia
ncbi,Acris crepitans,Amphibia
ncbi,Anaxyrus terrestris,Amphibia
ncbi,Desmognathus quadramaculatus,Amphibia
ncbi,Notophthalmus viridescens,Amphibia
ncbi,Ambystoma jeffersonianum,Amphibia
ncbi,Ascaphus truei,Amphibia
ncbi,Buergeria japonica,Amphibia
ncbi,Dendropsophus labialis,Amphibia
ncbi,Eleutherodactylus portoricensis,Amphibia
ncbi,Limnodynastes peronii,Amphibia
ncbi,Limnodynastes salmini,Amphibia
ncbi,Lithobates berlandieri,Amphibia
ncbi,Litoria fallax,Amphibia
ncbi,Litoria freycineti,Amphibia
ncbi,Litoria lesueuri,Amphibia
ncbi,Litoria peronii,Amphibia
ncbi,Litoria rubella,Amphibia
ncbi,Mixophyes fasciolatus,Amphibia
ncbi,Neobatrachus pictus,Amphibia
ncbi,Pseudacris crucifer,Amphibia
ncbi,Pseudophryne bibronii,Amphibia
ncbi,Rhyacotriton variegatus,Amphibia
ncbi,Xenopus laevis,Amphibia
ncbi,Necturus maculosus,Amphibia
ncbi,Anaxyrus boreas,Amphibia
ncbi,Anaxyrus canorus,Amphibia
ncbi,Anaxyrus cognatus,Amphibia
ncbi,Anaxyrus debilis,Amphibia
ncbi,Anaxyrus exsul,Amphibia
ncbi,Anaxyrus nelsoni,Amphibia
ncbi,Cophixalus ornatus,Amphibia
ncbi,Crinia parinsignifera,Amphibia
ncbi,Cryptobranchus alleganiensis,Amphibia
ncbi,Desmognathus ochrophaeus,Amphibia
ncbi,Geocrinia laevis,Amphibia
ncbi,Geocrinia victoriana,Amphibia
ncbi,Hyla walkeri,Amphibia
ncbi,Incilius alvarius,Amphibia
ncbi,Incilius marmoreus,Amphibia
ncbi,Incilius mazatlanensis,Amphibia
ncbi,Leptodactylus melanonotus,Amphibia
ncbi,Lithobates palmipes,Amphibia
ncbi,Litoria bicolor,Amphibia
ncbi,Litoria ewingii,Amphibia
ncbi,Litoria rothii,Amphibia
ncbi,Litoria verreauxii,Amphibia
ncbi,Philoria frosti,Amphibia
ncbi,Pseudacris cadaverina,Amphibia
ncbi,Pseudophryne corroboree,Amphibia
ncbi,Rana boylii,Amphibia
ncbi,Rana cascadae,Amphibia
ncbi,Rana chensinensis,Amphibia
ncbi,Rana pretiosa,Amphibia
ncbi,Rhaebo haematiticus,Amphibia
ncbi,Smilisca fodiens,Amphibia
ncbi,Smilisca baudinii,Amphibia
ncbi,Tlalocohyla smithii,Amphibia
ncbi,Odontophrynus occidentalis,Amphibia
ncbi,Plethodon cinereus,Amphibia
ncbi,Plethodon jordani,Amphibia
ncbi,Triturus dobrogicus,Amphibia
ncbi,Hyperolius viridiflavus,Amphibia
ncbi,Acipenser brevirostrum,Actinopteri
ncbi,Oryzias melastigma,Actinopteri
ncbi,Albula vulpes,Actinopteri
ncbi,Ambassis ambassis,Actinopteri
ncbi,Anabas testudineus,Actinopteri
ncbi,Apogon dovii,Actinopteri
ncbi,Ostorhinchus aureus,Actinopteri
ncbi,Ostorhinchus novemfasciatus,Actinopteri
ncbi,Craterocephalus stercusmuscarum,Actinopteri
ncbi,Leuresthes tenuis,Actinopteri
ncbi,Horabagrus brachysoma,Actinopteri
ncbi,Pseudobagrus vachellii,Actinopteri
ncbi,Hypsoblennius gilberti,Actinopteri
ncbi,Lipophrys pholis,Actinopteri
ncbi,Lipophrys trigloides,Actinopteri
ncbi,Bovichtus variegatus,Actinopteri
ncbi,Corydoras ehrhardti,Actinopteri
ncbi,Scleromystax barbatus,Actinopteri
ncbi,Pseudocaranx dentex,Actinopteri
ncbi,Seriola quinqueradiata,Actinopteri
ncbi,Trachurus japonicus,Actinopteri
ncbi,Carpiodes cyprinus,Actinopteri
ncbi,Catostomus commersonii,Actinopteri
ncbi,Catostomus latipinnis,Actinopteri
ncbi,Catostomus occidentalis,Actinopteri
ncbi,Catostomus platyrhynchus,Actinopteri
ncbi,Hypentelium nigricans,Actinopteri
ncbi,Moxostoma robustum,Actinopteri
ncbi,Ambloplites rupestris,Actinopteri
ncbi,Archoplites interruptus,Actinopteri
ncbi,Lepomis cyanellus,Actinopteri
ncbi,Lepomis gibbosus,Actinopteri
ncbi,Lepomis macrochirus,Actinopteri
ncbi,Lepomis megalotis,Actinopteri
ncbi,Micropterus dolomieu,Actinopteri
ncbi,Micropterus floridanus,Actinopteri
ncbi,Micropterus punctulatus,Actinopteri
ncbi,Micropterus salmoides,Actinopteri
ncbi,Pomoxis annularis,Actinopteri
ncbi,Pomoxis nigromaculatus,Actinopteri
ncbi,Lates calcarifer,Actinopteri
ncbi,Chelmon rostratus,Actinopteri
ncbi,Astyanax bimaculatus,Actinopteri
ncbi,Astyanax lineatus,Actinopteri
ncbi,Bryconamericus thomasi,Actinopteri
ncbi,Gymnocharacinus bergii,Actinopteri
ncbi,Bujurquina vittata,Actinopteri
ncbi,Etroplus suratensis,Actinopteri
ncbi,Geophagus brasiliensis,Actinopteri
ncbi,Oreochromis mossambicus,Actinopteri
ncbi,Pseudocrenilabrus multicolor,Actinopteri
ncbi,Pterophyllum scalare,Actinopteri
ncbi,Clarias gariepinus,Actinopteri
ncbi,Clupea pallasii,Actinopteri
ncbi,Dorosoma cepedianum,Actinopteri
ncbi,Dorosoma petenense,Actinopteri
