db,query,class
itis,Cyprinodon sp.1,NA
itis,Chirodica chalcoptera,NA
itis,Litoria gracilenta,NA
itis,Myro kerguelenensis,Euchelicerata
itis,Takydromus hsuehshaner,NA
itis,Sphenomorphus taiwanensis,Reptilia
itis,Eleutherodactylus portoricensus,NA
itis,Hyla lesueuri,NA
itis,Hyla glauerti,NA
itis,Hyla rothi,NA
itis,Limnodynastes peroni,Amphibia
itis,Hyla ewingi,NA
itis,Hyla peroni,NA
itis,Crinia parainsignifera,NA
itis,Hyla aurea,NA
itis,Hyla alpina,NA
itis,Cryptopygus antarcticustravei,NA
itis,Lithobates catesbeiana,NA
itis,Litoria aurea,NA
itis,Litoria caerulea,NA
itis,Anaxyrus compactilis,Amphibia
itis,Litoria chloris,NA
itis,Litoria citropa,NA
itis,Litoria phyllochroa,NA
itis,Achirus mazatlanus,Teleostei
itis,Ambassis kopsii,Teleostei
itis,Leuresthes sardina,Teleostei
itis,Quietula y,Teleostei
itis,Acanthoclinus littoreus,Teleostei
