Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,metric_type,metric_description,person
Lacerta,agilis,2.3,tmin,NA,NA,critical,NA,AB
Lacerta,agilis,2.8,tmin,NA,NA,critical,NA,AB
Lacerta,agilis,5.9,tmin,NA,NA,critical,NA,AB
Lacerta,agilis,5.9,tmin,NA,NA,critical,NA,AB
Poeciliopsis,monacha,7,tmin,NA,NA,critical,temperature_at_which_experimental_fish_lost_equilibrium,AB
Poeciliopsis,monacha_occidentalis,5,tmin,NA,NA,critical,temperature_at_which_experimental_fish_lost_equilibrium,AB
Poeciliopsis,monacha_lucida,7,tmin,NA,NA,critical,temperature_at_which_experimental_fish_lost_equilibrium,AB
Liolaemus,fabiani,9.2,tmin,0.51,SE,critical,temperature_unable_to_right_themselves,AB
Liolaemus,fabiani,7.9,tmin,0.43,SE,critical,temperature_unable_to_right_themselves,AB
Anisotome,imbricata,-8.2,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Anisotome,imbricata,-13.2,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Celmisia,haastii,-8.1,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Celmisia,haastii,-9.1,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Celmisia,haastii,-13.8,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Celmisia,viscosa,-12.4,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Celmisia,viscosa,-13.8,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Celmisia,viscosa,-17.8,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Dracophyllum,muscoides,-8.7,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Dracophyllum,muscoides,-8.5,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Dracophyllum,muscoides,-13.7,tmin,NA,NA,lethal,frost_resistance_LT50,AB
Hectorella,caespitosa,-8.7,tmin,NA,NA,lethal,frost_resistance_LT50,AB
