genus_species,number_of_populations,database
ABTO ,1,BioTIME
ACERALB ,1,BioTIME
ACWO ,1,BioTIME
AGEL ,1,BioTIME
AGWT ,1,BioTIME
ALNUCRIS ,10,BioTIME
ALNUTENU ,13,BioTIME
AMAV ,1,BioTIME
AMCO ,1,BioTIME
AMCR ,1,BioTIME
AMELARB ,1,BioTIME
AMELCAN ,1,BioTIME
AMGO ,1,BioTIME
AMKE ,1,BioTIME
AMPI ,1,BioTIME
AMRO ,1,BioTIME
AMWI ,1,BioTIME
ANHU ,1,BioTIME
ATFL ,1,BioTIME
AUWA ,1,BioTIME
AWPE ,1,BioTIME
Abagrotis apposita,1,BioTIME
Abagrotis baueri,1,BioTIME
Abagrotis erratica,1,BioTIME
Abagrotis forbesi,1,BioTIME
Abagrotis glenni,1,BioTIME
Abagrotis nefascia,1,BioTIME
Abagrotis placida,1,BioTIME
Abagrotis pulchrata,1,BioTIME
Abagrotis reedi,1,BioTIME
Abagrotis scopeops,1,BioTIME
Abagrotis trigona,1,BioTIME
Abagrotis variata,1,BioTIME
Abalistes stellatus,1568,BioTIME
Abarema barbouriana,1,BioTIME
Abarema macradenia,1,BioTIME
Abarenicola pacifica,21,BioTIME
Abdera flexuosa,3,BioTIME
Aberranta enigmatica,5,BioTIME
Aberranta sp122,2,BioTIME
Aberrantidae ,44,BioTIME
Aberrodomus candidus,4,BioTIME
Aberts Towhee,1,BioTIME
Abidexter sp,1,BioTIME
Abies alba,14,BioTIME
Abies amabilis,60,BioTIME
Abies balsamea,38,BioTIME
Abies concolor,11,BioTIME
Abies grandis,25,BioTIME
Abies lasiocarpa,14,BioTIME
Abies magnifica,5,BioTIME
Abies procera,34,BioTIME
Abietinaria ,5,BioTIME
Abietinaria abietina,217,BioTIME
Abietinaria filicula,42,BioTIME
Abietinaria sp,36,BioTIME
Abisara freda,1,BioTIME
Abisara fylla,1,BioTIME
Abisara neophron,1,BioTIME
Ablabesmyia ,9,BioTIME
Ablabesmyia annulata,23,BioTIME
Ablabesmyia parajanta,1,BioTIME
Ablabesmyia peleensis,2,BioTIME
Ablabesmyia rhamphe,9,BioTIME
Ablabesmyia sp,2,BioTIME
Ablabys sp,3,BioTIME
Ablabys taenianotus,1,BioTIME
Ablennes hians,14,BioTIME
Abludomelita gladiosa,4,BioTIME
Abludomelita obtusata,57,BioTIME
Abolboda poarchon,2,BioTIME
Abra,2,BioTIME
Abra ,147,BioTIME
Abra aequalis,222,BioTIME
Abra alba,593,BioTIME
Abra lioica,128,BioTIME
Abra nitida,157,BioTIME
Abra prismatica,117,BioTIME
Abra spec,2,BioTIME
Abra tenuis,66,BioTIME
Abralia redfieldi,1,BioTIME
Abralia veranyi,37,BioTIME
Abraliopesis affinis,10,BioTIME
Abraliopesis pfefferi,3,BioTIME
Abraliopsis ,1,BioTIME
Abraliopsis morisii,15,BioTIME
Abraliopsis sp,1,BioTIME
Abramis brama,33,BioTIME
Abraxas grossulariata,1,BioTIME
Abrocoma bennetti,1,BioTIME
Abrostola tripartita,1,BioTIME
Abrostola triplasia,1,BioTIME
Abrothrix longipilis,1,BioTIME
Abrothrix olivaceus,1,BioTIME
Abudefduf bengalensis,62,BioTIME
Abudefduf lorenzi,3,BioTIME
Abudefduf notatus,15,BioTIME
Abudefduf saxatilis,212,BioTIME
Abudefduf septemfasciatus,22,BioTIME
Abudefduf sexfasciatus,61,BioTIME
Abudefduf sordidus,5,BioTIME
Abudefduf taurus,5,BioTIME
Abudefduf vaigiensis,80,BioTIME
Abuta sp,1,BioTIME
Abutilon theophrasti,1,BioTIME
Abyla bicarinata,1,BioTIME
Abyla haeckeli,27,BioTIME
Abyla sp,156,BioTIME
Abyla trigona,110,BioTIME
Abylidae ,6,BioTIME
Abylopsis eschscholtzii,405,BioTIME
Abylopsis sp,5,BioTIME
Abylopsis tetragona,335,BioTIME
Abyssoanthus ,1,BioTIME
Abyssocucumis abyssorum,1,BioTIME
Abyssoninoe spA,14,BioTIME
Abyssoninoe spB,21,BioTIME
Abyssoninoe winsnesae,4,BioTIME
Abyssotrophon ,1,BioTIME
Acacia celsa,6,BioTIME
Acacia hylonoma,1,BioTIME
Acacia melanoceras,1,BioTIME
Acacia midgleyi,1,BioTIME
Acacia polyphylla,2,BioTIME
Acacia sp1,1,BioTIME
Acadian flycatcher,2,BioTIME
Acalolepta fraudatrix,2,BioTIME
Acalypha diversifolia,2,BioTIME
Acalypha macrostachya,1,BioTIME
Acalypha monococca,1,BioTIME
Acalypha neomexicana,2,BioTIME
Acalypha virginica,1,BioTIME
Acalyptophis peronii,5,BioTIME
Acanalonia agilis,1,BioTIME
Acanella ,1,BioTIME
Acanella arbuscula,3,BioTIME
Acanthaluteres brownii,13,BioTIME
Acanthaluteres spilomelanurus,3,BioTIME
Acanthaluteres vittiger,32,BioTIME
Acanthancora cyanocrypta,11,BioTIME
Acantharia ,120,BioTIME
Acanthaster brevispinus,14,BioTIME
Acanthaster planci,12,BioTIME
Acanthastrea ,57,BioTIME
Acanthastrea echinata,45,BioTIME
Acanthella cavernosa,44,BioTIME
Acanthemblemaria aspera,2,BioTIME
Acanthemblemaria maria,18,BioTIME
Acanthemblemaria spinosa,11,BioTIME
Acanthemblemaria unknown,1,BioTIME
Acanthephyra ,3,BioTIME
Acanthephyra acanthitelsonis,36,BioTIME
Acanthephyra acutifrons,13,BioTIME
Acanthephyra brevirostris,18,BioTIME
Acanthephyra cucullata,1,BioTIME
Acanthephyra curtirostris,26,BioTIME
Acanthephyra eximea,4,BioTIME
Acanthephyra gracilipes,7,BioTIME
