Global variation in the thermal tolerances of plants,,,,,,,,,,,,
Lesley T. Lancaster and Aelys M. Humphreys,,,,,,,,,,,,
Proceedings of the National Academy of Sciences USA (2020),,,,,,,,,,,,
,,,,,,,,,,,,
Dataset S1:,,,,,,,,,,,,
,,,,,,,,,,,,
Plant species clean,Plant species pre-cleaning,Thermal Tolerance_deg.C,Tmin or Tmax,Tolerance measure,Hardened y/n,Hardening approach,Latitude,Longitude,Elevation,Plant family,Growth form,Reference (see sheet 2 for full citation information)
Abies_amabilis,Abies_antabilis,-30,Tmin,FR,y,laboratory acclimation,47.61,-122.31,111,Pinaceae,tree,"Sakai & Weiser, 1973"
Abies_balsamea,Abies_balsamea,-80,Tmin,FR,y,laboratory acclimation,45.65,-89.45,479,Pinaceae,tree,"Sakai & Weiser, 1973"
Abies_balsamea,Abies_balsam,53.17,Tmax,Tmax,y,seasonal variation in the wild,47.96,-91.75,420,Pinaceae,tree,"O’sullivan et al., 2017"
Abies_concolor,Abies_concolor,-80,Tmin,FR,y,laboratory acclimation,45,-92.9,283,Pinaceae,tree,"Sakai & Weiser, 1973"
Abies_grandis,Abies_grandis,-30,Tmin,FR,y,laboratory acclimation,48.76,-122.45,36,Pinaceae,tree,"Sakai & Weiser, 1973"
Abies_lasiocarpa,Abies_lasiocarpa,-80,Tmin,FR,y,laboratory acclimation,45.4,-111.3,2000,Pinaceae,tree,"Sakai & Weiser, 1973"
Abrotanella_patearoa,Abrotanella_patearoa,-7.5,Tmin,LT50,no_data,,-45.41805556,170.0913889,1240,Asteraceae,cushion,"Bannister et al., 2005"
Abutilon_muticum,Abutilon_muticum,47,Tmax,LT50,no_data,,20.6,-13,261,Malvaceae,shrub,"Lange, 1959"
Acacia_albida,Acacia_albida,52,Tmax,LT50,no_data,,17.02,-16.07,16,Fabaceae,tree,"Lange, 1959"
Acacia_aneura,Acacia_aneura,43.3,Tmax,T50,n,seasonal variation in the wild,-22.28,133.25,606,Fabaceae,tree,"Zhu et al., 2018"
Acacia_aneura,Acacia_aneura,45.85,Tmax,T50,n,seasonal variation in the wild,-30.267,120.7,450,Fabaceae,tree,"Zhu et al., 2018"
Acacia_aneura,Acacia_aneura,46.35,Tmax,T50,y,seasonal variation in the wild,-30.267,120.7,450,Fabaceae,tree,"Zhu et al., 2018"
Acacia_aneura,Acacia_aneura,47.92,Tmax,T50,y,seasonal variation in the wild,-22.28,133.25,606,Fabaceae,tree,"Zhu et al., 2018"
Acacia_aneura,Acacia_aneura,52.3,Tmax,T50,no_data,,-32.46,137.74,14,Fabaceae,tree,"Curtis, 2017"
Acacia_aneura,Acacia_aneura,58.25,Tmax,Tmax,y,seasonal variation in the wild,-30.26,120.69,459,Fabaceae,tree,"O’sullivan et al., 2017"
Acacia_aneura,Acacia_aneura,62.71,Tmax,Tmax,y,seasonal variation in the wild,-22.28,133.25,607,Fabaceae,tree,"O’sullivan et al., 2017"
Acacia_burkittii,Acacia_burkittii,44.81,Tmax,T50,n,seasonal variation in the wild,-30.267,120.7,450,Fabaceae,tree,"Zhu et al., 2018"
Acacia_burkittii,Acacia_burkittii,49.82,Tmax,T50,y,seasonal variation in the wild,-30.267,120.7,450,Fabaceae,tree,"Zhu et al., 2018"
Acacia_burkittii,Acacia_burkittii,59.92,Tmax,Tmax,y,seasonal variation in the wild,-30.26,120.69,459,Fabaceae,tree,"O’sullivan et al., 2017"
Acacia_dealbata,Acacia_dealbata,56.76,Tmax,Tmax,y,seasonal variation in the wild,-43.09,146.68,257,Fabaceae,tree,"O’sullivan et al., 2017"
Acacia_hemiteles,Acacia_hemiteles,40.85,Tmax,T50,n,seasonal variation in the wild,-30.267,120.7,450,Fabaceae,tree,"Zhu et al., 2018"
Acacia_hemiteles,Acacia_hemiteles,47.42,Tmax,T50,y,seasonal variation in the wild,-30.267,120.7,450,Fabaceae,tree,"Zhu et al., 2018"
Acacia_hemiteles,Acacia_hemiteles,60.29,Tmax,Tmax,y,seasonal variation in the wild,-30.26,120.69,459,Fabaceae,tree,"O’sullivan et al., 2017"
Acacia_ligulata,Acacia_ligulata,51.1,Tmax,T50,no_data,,-32.46,137.74,14,Fabaceae,tree,"Curtis, 2017"
Acacia_melanoxylon,Acacia_melanoxylon,39.76,Tmax,T50,n,seasonal variation in the wild,-43.083,146.65,595,Fabaceae,tree,"Zhu et al., 2018"
Acacia_melanoxylon,Acacia_melanoxylon,40.92,Tmax,T50,y,seasonal variation in the wild,-43.083,146.65,595,Fabaceae,tree,"Zhu et al., 2018"
Acacia_melanoxylon,Acacia_melanoxylon,57.62,Tmax,Tmax,y,seasonal variation in the wild,-43.09,146.65,217,Fabaceae,tree,"O’sullivan et al., 2017"
Acacia_papyrocarpa,Acacial_papyrocarpa,49.6,Tmax,T50,no_data,,-32.46,137.74,14,Fabaceae,tree,"Curtis, 2017"
Acacia_parramattensis,Acacia_parramattenensis,44.55,Tmax,T50,n,seasonal variation in the wild,-33.617,150.733,30,Fabaceae,tree,"Zhu et al., 2018"
Acacia_parramattensis,Acacia_parramattenensis,48.86,Tmax,T50,y,seasonal variation in the wild,-33.617,150.733,30,Fabaceae,tree,"Zhu et al., 2018"
Acacia_rostellifera,Acacia_rostellifera,58.4,Tmax,Tmax,y,seasonal variation in the wild,-30.18,115,6,Fabaceae,tree,"O’sullivan et al., 2017"
Acacia_senegal,Acacia_senegal,47,Tmax,LT50,no_data,,17.02,-16.07,16,Fabaceae,tree,"Lange, 1959"
Acacia_seyal,Acacia_seyal,48,Tmax,LT50,no_data,,17.02,-16.07,16,Fabaceae,tree,"Lange, 1959"
Acacia_stenophylla,Acacia_stenophylla,60.58,Tmax,Tmax,y,seasonal variation in the wild,-34.04,140.67,35,Fabaceae,tree,"O’sullivan et al., 2017"
Acacia_tortilis,Acacia_tortilis,47,Tmax,LT50,no_data,,18.1,-16,3,Fabaceae,tree,"Lange, 1959"
Acacia_tortilis,Acacia_tortilis,49,Tmax,LT50,no_data,,17.02,-16.07,16,Fabaceae,tree,"Lange, 1959"
Acacia_tortilis,Acacia_tortilis,49,Tmax,LT50,no_data,,20.6,-13,261,Fabaceae,tree,"Lange, 1959"
Acacia_tortilis,Acacia_tortilis,49,Tmax,LT50,no_data,,20.7,-13,317,Fabaceae,tree,"Lange, 1959"
Acalypha_wilkesiana,Acalypha_wilkesiana,-2.6,Tmin,LT50,no_data,,18.3,-66.5,NA,Euphorbiaceae,shrub,"Biebl, 1964"
Acalypha_wilkesiana,Acalypha_wilkesiana,51,Tmax,LT50,no_data,,18.3,-66.5,NA,Euphorbiaceae,shrub,"Biebl, 1964"
Acer_macrophyllum,Acer_macrophyllum,-20,Tmin,FR,y,laboratory acclimation,47.61,-122.31,111,Sapindaceae,tree,"Sakai & Weiser, 1973"
Acer_pseudoplatanus,Acer_pseudoplatanus,50.4,Tmax,LT50,no_data,,59.67,10.78,105,Sapindaceae,tree,"Gauslaa, 1984"
Acer_rubrum,Acer_rubrum,-30,Tmin,FR,y,laboratory acclimation,33.37,-91.02,35,Sapindaceae,tree,"Sakai & Weiser, 1973"
Acer_rubrum,Acer_rubrum,55.19,Tmax,Tmax,y,seasonal variation in the wild,47.96,-91.75,420,Sapindaceae,tree,"O’sullivan et al., 2017"
Acer_rubrum,Acer_rubrum,56.89,Tmax,Tmax,y,seasonal variation in the wild,41.41,-74.01,335,Sapindaceae,tree,"O’sullivan et al., 2017"
Acer_saccharum,Acer_saccharum,-80,Tmin,FR,y,laboratory acclimation,45,-92.9,283,Sapindaceae,tree,"Sakai & Weiser, 1973"
Acer_saccharum,Acer_saccharum,57.17,Tmax,Tmax,y,seasonal variation in the wild,41.41,-74.01,335,Sapindaceae,tree,"O’sullivan et al., 2017"
Aciphylla_hectori,Aciphylla_hectorii,-8.4,Tmin,LT50,no_data,,-45.41805556,170.0913889,1240,Apiaceae,shrub,"Bannister et al., 2005"
Aconitum_septentrionale,Aconitum_septentrionale,47.7,Tmax,LT50,no_data,,60.6,7.5,1248,Ranunculaceae,perennial_herb,"Gauslaa, 1984"
Acrothamnus_suaveolens,Styphelia_suaveolens,-5,Tmin,FR,no_data,,-5.8,144,3400,Ericaceae,shrub,"Sakai & Larcher, 1987"
Adenium_obesum,Adenium_honghel,51,Tmax,LT50,no_data,,17.02,-16.07,16,Apocynaceae,shrub,"Lange, 1959"
Adenostoma_fasciculatum,Adenostema_fasciculatum,64.1,Tmax,Tmax,no_data,,37.4,-122.2,80,Rosaceae,shrub,"Knight & Ackerly, 2002"
Adiantum_capillus-veneris,Adiantum_capillus-veneris,-4,Tmin,FR,no_data,,39.7,2.7,NA,Pteridaceae,perennial_herb,"Kappen, 1964"
Adiantum_pedatum,Adiantum_pedatum,-5,Tmin,LT50,no_data,,43.25,142.65,NA,Pteridaceae,perennial_herb,"Sato, 1982"
Adiantum_reniforme,Adiantum_reniforme,49,Tmax,LT50,no_data,,28.7,-18,NA,Pteridaceae,perennial_herb,"Lösch, 1980"
Aechmea_nudicaulis,Aechmea_nudicaulis,45.7,Tmax,T50,n,seasonal variation in the wild,-23.78,-47.45,1400,Bromeliaceae,perennial_herb,"Chaves et al., 2018"
Aechmea_nudicaulis,Aechmea_nudicaulis,46,Tmax,T50,y,seasonal variation in the wild,-23.78,-47.45,1400,Bromeliaceae,perennial_herb,"Chaves et al., 2018"
Aechmea_nudicaulis,Aechmea_nudicaulis,49,Tmax,T50,n,seasonal variation in the wild,-23.78,-47.45,1400,Bromeliaceae,perennial_herb,"Chaves et al., 2018"
Aechmea_nudicaulis,Aechmea_nudicaulis,50,Tmax,T50,y,seasonal variation in the wild,-23.78,-47.45,1400,Bromeliaceae,perennial_herb,"Chaves et al., 2018"
Aetheolaena_mojandensis,Lasiocephalus_mojandensis,-9.1,Tmin,LT50,no_data,,-0.33,-78.2,4138,Asteraceae,perennial_herb,"Sklenář et al., 2010"
Aetheolaena_otophora,Lasiocephalus_otophorus,-10.9,Tmin,LT50,no_data,,-0.33,-78.2,4138,Asteraceae,perennial_herb,"Sklenář et al., 2010"
Aframomum_melegueta,Aframomom_cf._melegueta,49,Tmax,LT50,no_data,,5.35,-4.14,63,Zingiberaceae,perennial_herb,"Lange, 1959"
Agathis_atropurpurea,Agathis_atropurpurea,-7.5,Tmin,LT50,no_data,,-17,145,1140,Araucariaceae,tree,"Offord, 2011"
Agathis_atropurpurea,Agathis_atropurpurea,57,Tmax,LT50,no_data,,-17,145,1140,Araucariaceae,tree,"Offord, 2011"
Agathis_australis,Agathis_australis,-7,Tmin,FR,y,laboratory acclimation,-43.53,172.62,7,Araucariaceae,tree,"Sakai & Wardle, 1978"
Agathis_microstachya,Agathis_microstachya,-8,Tmin,LT50,no_data,,-17.45,145.633,740,Araucariaceae,tree,"Offord, 2011"
Agathis_microstachya,Agathis_microstachya,58,Tmax,LT50,no_data,,-17.45,145.633,740,Araucariaceae,tree,"Offord, 2011"
Agathis_robusta,Agathis_robusta,-7.5,Tmin,LT50,no_data,,-25,153,10,Araucariaceae,tree,"Offord, 2011"
Agathis_robusta,Agathis_robusta,58,Tmax,LT50,no_data,,-25,153,10,Araucariaceae,tree,"Offord, 2011"
Agave_angustifolia,Agave_angustifolia,-9.4,Tmin,LT50,y,laboratory acclimation,29.7,-110.2,510,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_angustifolia,Agave_angustifolia,-4.4,Tmin,LT50,n,laboratory acclimation,29.7,-110.2,510,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_angustifolia,Agave_angustifolia,51.4,Tmax,LT50,n,laboratory acclimation,29.7,-110.2,510,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
