Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,duration_of_chronic_exposure,pretreatment_temp,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection,location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes_1,Notes_2
Lacerta,agilis,2.3,tmin,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NEEDS_LOOKUP,NEEDS_LOOKUP,NEEDS_LOOKUP,Southern Germany,Spellerberg_1975,NA,Chordata,Lepidosauria,Squamata,Lacertidae,terrestrial,terrestrial,"preliminary investigations, small samples",
Lacerta,agilis,2.8,tmin,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NEEDS_LOOKUP,NEEDS_LOOKUP,NEEDS_LOOKUP,Czechoslovakia,Spellerberg_1975,NA,Chordata,Lepidosauria,Squamata,Lacertidae,terrestrial,terrestrial,"preliminary investigations, small samples",
Lacerta,agilis,5.9,tmin,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NEEDS_LOOKUP,NEEDS_LOOKUP,NEEDS_LOOKUP,Southern England,Spellerberg_1975,NA,Chordata,Lepidosauria,Squamata,Lacertidae,terrestrial,terrestrial,"preliminary investigations, small samples",
Lacerta,agilis,5.9,tmin,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NEEDS_LOOKUP,NEEDS_LOOKUP,NEEDS_LOOKUP,Lancashire,Spellerberg_1975,NA,Chordata,Lepidosauria,Squamata,Lacertidae,terrestrial,terrestrial,"preliminary investigations, small samples",
Poeciliopsis,monacha,7,tmin,NA,NA,53,critical,temperature_at_which_experimental_fish_lost_equilibrium,5dCin24h,NA,25,1d,27,NA,NEEDS_LOOKUP,NEEDS_LOOKUP,NEEDS_LOOKUP,"Rio Fuerte, Mexico",Bulger_&_Schultz_1982,adult,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,freshwater,freshwater,Hybrid species,
Poeciliopsis,monacha_occidentalis,5,tmin,NA,NA,39,critical,temperature_at_which_experimental_fish_lost_equilibrium,5dCin24h,NA,25,1d,27,NA,NEEDS_LOOKUP,NEEDS_LOOKUP,NEEDS_LOOKUP,"Rios Concepcion, Sonora, Matape, Yaqui and Mayo, Mexico",Bulger_&_Schultz_1982,adult,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,freshwater,freshwater,Hybrid species,
Poeciliopsis,monacha_lucida,7,tmin,NA,NA,83,critical,temperature_at_which_experimental_fish_lost_equilibrium,5dCin24h,NA,25,1d,27,NA,NEEDS_LOOKUP,NEEDS_LOOKUP,NEEDS_LOOKUP,"Rio Fuerte, Mexico",Bulger_&_Schultz_1982,adult,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,freshwater,freshwater,Hybrid species,
Liolaemus,fabiani,9.2,tmin,0.51,SE,NA,critical,temperature_unable_to_right_themselves,NA,NA,NA,NA,NA,november1999_february2000,26d46's,68d14'w,2400,Puilar Chile,Labra_et_al_2001,adult,Chordata,Lepidosauria,Squamata,Iguanidae,terrestrial,terrestrial,"Critical thermal minima were obtained by cooling cooling lizards in a freezer to a tempertaure at which, when turned on their back, they wer eunable to right themselves",
Liolaemus,fabiani,7.9,tmin,0.43,SE,NA,critical,temperature_unable_to_right_themselves,NA,NA,NA,NA,NA,november1999_february2000,26d46's,68d14'w,2400,Punta Brava Chile,Labra_et_al_2001,adult,Chordata,Lepidosauria,Squamata,Iguanidae,terrestrial,terrestrial,"Critical thermal minima were obtained by cooling cooling lizards in a freezer to a tempertaure at which, when turned on their back, they wer eunable to right themselves",
Anisotome,imbricata,-8.2,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-0.33,5_18march2004,45d25'05''s,170d05'29''e,1240,Rock and Pillar Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Apiales,Apiaceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
