Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate_°Cmin-1,duration_of_chronic_exposure,pretreatment_temp_°C,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection_(ft),location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
Hyla,glauerti,37.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Ctmax assessed by measuring the cloacal temperature for all species in Brattstrom_1970
Hyla,glauerti,38.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Season is according the appropriate hemisphere
Hyla,glauerti,41.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,41.7,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,39.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,20°S,,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,40.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,20°S,,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,39.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,20°S,,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,40.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,20°S,,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,37.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,38.2,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,34.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,35.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,37.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,glauerti,38.4,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,gracilenta,36.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,18°S,,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,gracilenta,39.0,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,18°S,,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,gracilenta,38.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,18°S,,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,gracilenta,39.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,18°S,,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,gracilenta,38.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,17°S,,1000,Cairns_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,32.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,17°S,,1000,Cairns_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,34.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,17°S,,1000,Cairns_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,35.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,17°S,,1000,Cairns_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,31.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,34.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,34.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,30.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,32.0,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,33.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,34.8,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,31.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,35.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,32.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,36.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,37.7,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,33.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,31°S,,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,35.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,31°S,,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,36.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,31°S,,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,37.7,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,31°S,,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,35.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,38.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,phyllochroa,29.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,phyllochroa,29.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 2) 
Hyla,phyllochroa,34.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 2) 
Hyla,phyllochroa,31.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,20,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 2) 
