Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,duration_of_chronic_exposure,pretreatment_temp,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection,location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
Eleutherodactylus,coqui,37.1,tmax,0.66,SD,12,critical,no_response_to_prodding,0.5,NA,NA,NA,FF,spring,18.29,-65.8,700,El Yunque National Forest,Christian_et_al_1988,adult,Chordata,Amphibia,Anura,Eleutherodactylidae,,terrestrial,
Eleutherodactylus,coqui,37.2,tmax,0.8,SD,10,critical,no_response_to_prodding,0.5,NA,NA,NA,FF,spring,18.4,-66.05,15,University of Puerto Rico,Christian_et_al_1988,adult,Chordata,Amphibia,Anura,Eleutherodactylidae,,terrestrial,
Eleutherodactylus,coqui,36.8,tmax,0.6,SD,12,critical,no_response_to_prodding,0.5,NA,NA,NA,FF,fall,18.29,-65.8,700,El Yunque National Forest,Christian_et_al_1988,adult,Chordata,Amphibia,Anura,Eleutherodactylidae,,terrestrial,
Eleutherodactylus,coqui,37,tmax,0.45,SD,9,critical,no_response_to_prodding,0.5,NA,NA,NA,FF,fall,18.4,-66.05,15,University of Puerto Rico,Christian_et_al_1988,adult,Chordata,Amphibia,Anura,Eleutherodactylidae,,terrestrial,
Eleutherodactylus,coqui,7.5,tmin,0.5,SD,8,critical,no_response_to_prodding,0.5,NA,20,1w,NA,spring,18.29,-65.8,700,El Yunque National Forest,Christian_et_al_1988,adult,Chordata,Amphibia,Anura,Eleutherodactylidae,,terrestrial,
Eleutherodactylus,coqui,7.3,tmin,1.5,SD,10,critical,no_response_to_prodding,0.5,NA,20,1w,NA,spring,18.4,-66.05,15,University of Puerto Rico,Christian_et_al_1988,adult,Chordata,Amphibia,Anura,Eleutherodactylidae,,terrestrial,
Todus,mexicanus,,,,,,,,,,,,,,,,,,Merola-Zwartjes_&_Ligon_2000,,Chordata,Aves,Coraciiformes,Todidae,,terrestrial,UTNZ LTNZ
Donax,serra,34,tmax,,,,lethal,temperature_at_50%_damage_after_6h_treatment,NA,6h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,small
Donax,serra,35.6,tmax,,,,lethal,temperature_at_50%_damage_after_3h_treatment,NA,3h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,large
Donax,serra,34.8,tmax,,,,lethal,temperature_at_50%_damage_after_6h_treatment,NA,6h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,large
Donax,serra,31,tmax,,,,lethal,temperature_at_50%_damage_after_12h_treatment,NA,12h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,small
Donax,serra,29,tmax,,,,lethal,temperature_at_50%_damage_after_24h_treatment,NA,24h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,small
Donax,serra,27.2,tmax,,,,lethal,temperature_at_50%_damage_after_48h_treatment,NA,48h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,small
Donax,serra,27,tmax,,,,lethal,temperature_at_50%_damage_after_72h_treatment,NA,72h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,small
Donax,serra,27,tmax,,,,lethal,temperature_at_50%_damage_after_96h_treatment,NA,96h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,small
Donax,serra,33,tmax,,,,lethal,temperature_at_50%_damage_after_12h_treatment,NA,12h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,large
Donax,serra,31,tmax,,,,lethal,temperature_at_50%_damage_after_24h_treatment,NA,24h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,large
Donax,serra,29,tmax,,,,lethal,temperature_at_50%_damage_after_48h_treatment,NA,48h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,large
Donax,serra,29,tmax,,,,lethal,temperature_at_50%_damage_after_72h_treatment,NA,72h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,large
Donax,serra,27,tmax,,,,lethal,temperature_at_50%_damage_after_96h_treatment,NA,96h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,large
Donax,sordidus,35,tmax,,,,lethal,temperature_at_50%_damage_after_12h_treatment,NA,12h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,
Donax,sordidus,33,tmax,,,,lethal,temperature_at_50%_damage_after_24h_treatment,NA,24h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,
Donax,sordidus,29.2,tmax,,,,lethal,temperature_at_50%_damage_after_48h_treatment,NA,48h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,
