"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","logic_source_for_dispersal_distance2","Notes","genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference","is.nocturnal","is.nocturnal_source","raster_mean"
1,"Abudefduf saxatilis","Chordata","Teleostei","Perciformes","Pomacentridae",NA,"Graham 1971","Comte","Abudefduf saxatilis_9.66_NA",28,9.66,-79.34,"","Abudefduf","saxatilis","Atlantic Panama",NA,39.3,"tmax",0.26,"SD",13,"lethal","death","0.0383",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"days",NA,NA,NA,"Abudefduf","saxatilis","1825","Bessa et al., 2007","1825","Bessa et al., 2007","Y","10-100","Wellington & Victor, 1989",22.9,"Froese & Pauly, 2000","15","Froese & Pauly, 2000","15","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1825","Sergeant Major (Abudefduf saxatilis), n.d.","NA","NA",NA
10,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA",10,45.3,-66.13,"","Acipenser","brevirostrum","Carter's Point Kingston New Brunswick Canada",NA,27.6,"tmax",0.35,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Acipenser","brevirostrum","1460","IUCN, 2020","730","IUCN, 2020","","10-100","Quattro et al., 2002;NatureServe, 2020",143,"Froese & Pauly, 2000","50","Froese & Pauly, 2000","50","Froese & Pauly, 2000","Y","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","3.14-314.16","Kynard et al., 2009","Nikki","25125","IUCN, 2020","NA","NA",NA
11,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA",15,45.3,-66.13,"","Acipenser","brevirostrum","Carter's Point Kingston New Brunswick Canada",NA,31.5,"tmax",0.91,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Acipenser","brevirostrum","1460","IUCN, 2020","730","IUCN, 2020","","10-100","Quattro et al., 2002;NatureServe, 2020",143,"Froese & Pauly, 2000","50","Froese & Pauly, 2000","50","Froese & Pauly, 2000","Y","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","3.14-314.16","Kynard et al., 2009","Nikki","25125","IUCN, 2020","NA","NA",NA
12,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA",20,45.3,-66.13,"","Acipenser","brevirostrum","Carter's Point Kingston New Brunswick Canada",NA,32.8,"tmax",1.17,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Acipenser","brevirostrum","1460","IUCN, 2020","730","IUCN, 2020","","10-100","Quattro et al., 2002;NatureServe, 2020",143,"Froese & Pauly, 2000","50","Froese & Pauly, 2000","50","Froese & Pauly, 2000","Y","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","3.14-314.16","Kynard et al., 2009","Nikki","25125","IUCN, 2020","NA","NA",NA
89,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Martin 1988","Comte","Ambassis ambassis_-30.86_NA",24,-30.86,25.14,"","Ambassis","ambassis","South Africa",14,36.5,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985","NA","NA",NA
90,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",20,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish India",7,35.49,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985","NA","NA",NA
91,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",25,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",7,36.47,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985","NA","NA",NA
92,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",28,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",7,37.02,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985","NA","NA",NA
93,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",30,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",7,37.54,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985","NA","NA",NA
94,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",35,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",7,38.54,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985","NA","NA",NA
